Time,Alpha_Real,Alpha_Imag,Beta_Real,Beta_Imag
2.17699589392713e-08,0.9999999967964049,1.6895321563851597e-06,-3.953099149766216e-05,-8.398157743078205e-12
2.2374680020917724e-08,0.9999999917227976,2.577743902651458e-06,-7.624712742142128e-05,-3.00384100293745e-11
2.297940110256415e-08,0.9999999799559725,3.8514984284007526e-06,-0.00013920079675602942,-1.0222008399775707e-10
2.3584122184210575e-08,0.999999955020057,5.636515772989416e-06,-0.0002378895261332532,-3.2817058239658834e-10
2.4188843265857e-08,0.9999999078158387,8.080996470112242e-06,-0.0003761710569347882,-9.82417618381502e-10
2.4793564347503426e-08,0.9999998295144163,1.1352280398887363e-05,-0.0005460109069585734,-2.7038035076334787e-09
2.539828542914985e-08,0.9999997138208643,1.563024602321208e-05,-0.0007314756083039648,-6.742234843729974e-09
2.6003006510796277e-08,0.9999995397746447,2.1097178496615493e-05,-0.0009366394722246169,-1.5070347465492452e-08
2.66077275924427e-08,0.9999992070745078,2.792429632790807e-05,-0.0012240316302008494,-3.021899384111916e-08
2.7212448674089125e-08,0.9999984643205788,3.625569847125899e-05,-0.001697356856645292,-5.556612691180849e-08
2.7817169755735552e-08,0.9999969902675309,4.619109346887396e-05,-0.0023939859510432224,-9.774136202444283e-08
2.8421890837381976e-08,0.9999945396499297,5.776919204351788e-05,-0.003251264502579735,-1.700349239503128e-07
2.90266119190284e-08,0.9999903843734788,7.095396069877892e-05,-0.0043199749351400035,-2.911200211847467e-07
2.9631333000674827e-08,0.9999821789165864,8.562589563489761e-05,-0.005873651812466464,-4.824935105225622e-07
3.023605408232125e-08,0.9999665496131769,0.00010158002317866638,-0.008064064367654937,-7.798406709065133e-07
3.0840775163967674e-08,0.9999393554622953,0.00011853167862257863,-0.010878437155985795,-1.2441649255342074e-06
3.14454962456141e-08,0.999889634827133,0.00013613014985216403,-0.014667074136772623,-1.9498374663291055e-06
3.205021732726053e-08,0.9997956168413076,0.00015397851173548153,-0.019956634340054718,-2.994176087040735e-06
3.265493840890695e-08,0.9996257337953888,0.0001716569625637999,-0.027016271261590803,-4.531634590981008e-06
3.3259659490553376e-08,0.9993185495040934,0.00018874708377000427,-0.036428738126302665,-6.763636179674796e-06
3.38643805721998e-08,0.9987511101407547,0.00020485168413836234,-0.04925698005619675,-9.93983389069714e-06
3.4469101653846224e-08,0.997716333526789,0.00021960336131070433,-0.06652751150523428,-1.4409431233562416e-05
3.507382273549265e-08,0.9958498822976545,0.00023265825014475932,-0.08951452306383097,-2.0630887076968783e-05
3.567854381713908e-08,0.9924769315578091,0.00024366784888939756,-0.12016600842757996,-2.9159008150972074e-05
3.62832648987855e-08,0.9864137273607378,0.000252215704679068,-0.16083399748439672,-4.066619857504453e-05
3.6887985980431926e-08,0.9756727783220386,0.00025771205555829055,-0.2140162577991956,-5.5931331196860556e-05
3.749270706207835e-08,0.9569995955062283,0.00025925222119379274,-0.28227528946754005,-7.573192965439211e-05
3.809742814372477e-08,0.9253593851244813,0.0002554720413692341,-0.3676849423582952,-0.00010062278652017977
3.8702149225371204e-08,0.8738061138364003,0.0002445158655973053,-0.470494245911335,-0.00013056197570344494
3.930687030701763e-08,0.7946452774272398,0.00022438852021577937,-0.5871903210339573,-0.00016437519199453214
3.991159138866405e-08,0.6833101962419118,0.00019409735156918374,-0.7086191194169744,-0.0001992441169931059
4.0516312470310475e-08,0.5457097631863187,0.00015573010813271096,-0.8197958523038889,-0.00023073943987044463
4.11210335519569e-08,0.40548696074758106,0.00011630635831910248,-0.9038986709046569,-0.0002541099762778205
4.172575463360332e-08,0.29936064191333933,8.605640935416742e-05,-0.9513136781600375,-0.00026691201143624573
4.233047571524975e-08,0.24810388644307613,7.0303702439735e-05,-0.9684258962385363,-0.0002712219460003638
4.293519679689618e-08,0.22143407513436364,6.108900169243106e-05,-0.9747960137960074,-0.00027235201229738534
4.35399178785426e-08,0.16169824923064466,4.488266216889217e-05,-0.9851702092812691,-0.0002739060838303213
4.4144638960189025e-08,0.07954287327351224,2.490837113273036e-05,-0.9959792134886474,-0.0002749877370208361
4.474936004183545e-08,0.05946742004423451,1.819397710229495e-05,-0.9981373222481397,-0.0002738790011789471
4.535408112348188e-08,0.0890150171455102,2.0638274109357894e-05,-0.9960117117138171,-0.000271728833881909
4.59588022051283e-08,0.05332501877394238,1.3775563289590994e-05,-0.9977701800028989,-0.0002699319460065858
4.6563523286774727e-08,-0.0020224010030542978,5.5139706746226185e-06,-0.9999795797064346,-0.00026793753362911815
4.716824436842115e-08,0.03338413968804311,6.497279665978142e-06,-0.9990178885747256,-0.00026548421368935426
4.7772965450067574e-08,0.04576291599270379,6.057531484774183e-06,-0.9987009806442011,-0.0002630256127473479
4.8377686531714e-08,-0.014553577474370239,3.689907748715071e-06,-0.9996406131560813,-0.0002605925979954125
4.898240761336043e-08,-0.001690556026884691,2.2495002708217915e-06,-0.9995235971667559,-0.0002581914079502382
4.958712869500685e-08,0.041278314806980326,-6.116305503013331e-08,-0.9991466254364731,-0.0002559118390748535
5.0191849776653276e-08,0.0011592101592086818,2.244663895324596e-06,-0.9993872336329658,-0.0002537548974068641
5.07965708582997e-08,-0.02952674992118261,4.380837388604648e-06,-0.9995378913843788,-0.00025178863216220623
5.1401291939946124e-08,0.011416849574686708,-8.867650566809982e-07,-0.9994017644707474,-0.0002500656992271079
5.2006013021592554e-08,0.035914240083903405,-4.335862147418429e-06,-0.9993362347446694,-0.00024856200816306476
5.261073410323898e-08,0.002828050293643388,6.563122678909929e-07,-0.9993958812095028,-0.0002472667564077074
5.32154551848854e-08,-0.030951561814583577,6.075701262185779e-06,-0.9994432421243362,-0.0002461901764162774
5.3820176266531826e-08,-0.024034170214701972,4.5428013376259176e-06,-0.9994372847656259,-0.00024532367331118256
5.442489734817825e-08,0.007058349455196665,-1.5088851764566597e-06,-0.9994142216021824,-0.0002446397845051736
5.502961842982467e-08,0.03052057285639645,-6.144644383365453e-06,-0.9994010545327219,-0.0002441088063297177
5.5634339511471104e-08,0.033420603699384745,-6.675394407900602e-06,-0.9993996704731589,-0.00024370485984029263
5.623906059311753e-08,0.020899206608917684,-4.029100160473886e-06,-0.9994033444032066,-0.000243404847934263
5.684378167476395e-08,0.0031212418662954224,-2.759886327462857e-07,-0.9994072700643796,-0.00024318754047851013
5.7448502756410375e-08,-0.012760789693501086,3.076662547767366e-06,-0.9994098773702338,-0.0002430339518059459
5.80532238380568e-08,-0.023954575806996614,5.4274805348607295e-06,-0.9994112400857343,-0.00024292794322348043
5.865794491970323e-08,-0.03048558380440002,6.77883060554832e-06,-0.9994118295778931,-0.00024285645086976156
5.926266600134965e-08,-0.03350394936915227,7.378361568345326e-06,-0.9994120321305586,-0.0002428093286263019
5.986738708299608e-08,-0.03428458475835313,7.501990753620194e-06,-0.999412071934491,-0.00024277897085754271
6.04721081646425e-08,-0.033833752430154976,7.367403026650181e-06,-0.9994120566051918,-0.00024275985544177834
6.107682924628892e-08,-0.032824135042213626,7.119555038441392e-06,-0.9994120302360457,-0.00024274809161281254
6.168155032793535e-08,-0.03165553120742677,6.843941582306949e-06,-0.9994120075433589,-0.0002427410162976699
6.228627140958177e-08,-0.030539629006372023,6.585201805368788e-06,-0.9994119915028291,-0.00024273685757587578
6.28909924912282e-08,-0.029571324186354806,6.362747542914332e-06,-0.999411981213513,-0.0002427344687753032
6.349571357287462e-08,-0.028778914451599417,6.181723851868544e-06,-0.9994119749925987,-0.00024273312787005493
6.410043465452106e-08,-0.028156145334678428,6.039972838978242e-06,-0.9994119713824337,-0.00024273239232523364
6.470515573616748e-08,-0.02768130398856809,5.9321575318906695e-06,-0.9994119693488691,-0.00024273199804109125
6.53098768178139e-08,-0.027327887235982427,5.852047388545317e-06,-0.9994119682325577,-0.0002427317915046858
6.591459789946033e-08,-0.02707010152872262,5.7936822658665186e-06,-0.9994119676325881,-0.00024273168578289338
6.651931898110675e-08,-0.02688534101998059,5.751884487111098e-06,-0.9994119673162853,-0.0002427316328982429
6.712404006275318e-08,-0.02675498727682381,5.722411431101233e-06,-0.9994119671535118,-0.00024273160704776412
6.77287611443996e-08,-0.026664341045110125,5.701924135391892e-06,-0.9994119670424895,-0.000242731594708188
6.833348222604602e-08,-0.02660215775788266,5.687873544012607e-06,-0.9994119670311679,-0.0002427315889353753
6.893820330769245e-08,-0.02656004944137983,5.6783606732170925e-06,-0.9994119670311679,-0.00024273158630192922
6.954292438933887e-08,-0.0265318899528113,5.671999801156466e-06,-0.9994119670311679,-0.00024273158512805578
7.01476454709853e-08,-0.026513287102606968,5.667797985921051e-06,-0.9994119670311679,-0.0002427315846167386
7.075236655263173e-08,-0.026501144093596562,5.665055394345357e-06,-0.9994119670311679,-0.00024273158439918873
7.135708763427816e-08,-0.026493311052760087,5.663286302074403e-06,-0.9994119670311679,-0.00024273158430896267
7.196180871592458e-08,-0.02648831719388855,5.6621584636589454e-06,-0.9994119670311679,-0.0002427315842722558
7.2566529797571e-08,-0.026485170358140832,5.661447776127493e-06,-0.9994119670311679,-0.00024273158425752432
7.317125087921743e-08,-0.026483210322519622,5.661005121700471e-06,-0.9994119670311679,-0.00024273158425752432
7.377597196086385e-08,-0.026482003567167414,5.660732589788248e-06,-0.9994119670311679,-0.00024273158425752432
7.438069304251028e-08,-0.026481269140295062,5.660566728412406e-06,-0.9994119670311679,-0.00024273158425752432
7.49854141241567e-08,-0.026480827307926707,5.660466946121514e-06,-0.9994119670311679,-0.00024273158425752432
7.559013520580312e-08,-0.0264805645537089,5.660407606444013e-06,-0.9994119670311679,-0.00024273158425752432
7.619485628744955e-08,-0.026480410089703085,5.660372722746955e-06,-0.9994119670311679,-0.00024273158425752432
7.679957736909597e-08,-0.026480320327871603,5.660352451206235e-06,-0.9994119670311679,-0.00024273158425752432
7.740429845074241e-08,-0.02648026876420703,5.660340806226396e-06,-0.9994119670311679,-0.00024273158425752432
7.800901953238883e-08,-0.026480239483334455,5.6603341935247866e-06,-0.9994119670311679,-0.00024273158425752432
7.861374061403525e-08,-0.026480223046706438,5.660330481527841e-06,-0.9994119670311679,-0.00024273158425752432
7.921846169568168e-08,-0.02648021392596585,5.660328421728241e-06,-0.9994119670311679,-0.00024273158425752432
